national_park,pos,review_year,tokens,counts
Acadia National Park,ADJ,2017,able,9
Acadia National Park,ADJ,2017,absolute,4
Acadia National Park,ADJ,2017,acceptable,1
Acadia National Park,ADJ,2017,accessible,6
Acadia National Park,ADJ,2017,active,2
Acadia National Park,ADJ,2017,actual,1
Acadia National Park,ADJ,2017,additional,1
Acadia National Park,ADJ,2017,adjacent,1
Acadia National Park,ADJ,2017,afraid,1
Acadia National Park,ADJ,2017,amazed,1
Acadia National Park,ADJ,2017,amazing,37
Acadia National Park,ADJ,2017,american,1
Acadia National Park,ADJ,2017,appropriate,1
Acadia National Park,ADJ,2017,athletic,1
Acadia National Park,ADJ,2017,audio,1
Acadia National Park,ADJ,2017,available,5
Acadia National Park,ADJ,2017,avid,1
Acadia National Park,ADJ,2017,aware,3
Acadia National Park,ADJ,2017,awesome,7
Acadia National Park,ADJ,2017,back,2
Acadia National Park,ADJ,2017,beautiful,93
Acadia National Park,ADJ,2017,beaver,1
Acadia National Park,ADJ,2017,beehive,1
Acadia National Park,ADJ,2017,beneficial,1
Acadia National Park,ADJ,2017,best,17
Acadia National Park,ADJ,2017,better,5
Acadia National Park,ADJ,2017,blue,6
Acadia National Park,ADJ,2017,brave,2
Acadia National Park,ADJ,2017,breathtaking,6
Acadia National Park,ADJ,2017,bright,1
Acadia National Park,ADJ,2017,busy,8
Acadia National Park,ADJ,2017,calm,1
Acadia National Park,ADJ,2017,certain,3
Acadia National Park,ADJ,2017,challenging,6
Acadia National Park,ADJ,2017,chilly,2
Acadia National Park,ADJ,2017,circular,2
Acadia National Park,ADJ,2017,clean,3
Acadia National Park,ADJ,2017,clear,5
Acadia National Park,ADJ,2017,close,3
Acadia National Park,ADJ,2017,closer,1
Acadia National Park,ADJ,2017,cloudless,2
Acadia National Park,ADJ,2017,cloudy,1
Acadia National Park,ADJ,2017,coastal,5
Acadia National Park,ADJ,2017,cold,3
Acadia National Park,ADJ,2017,colorful,1
Acadia National Park,ADJ,2017,coloured,1
Acadia National Park,ADJ,2017,comfy,1
Acadia National Park,ADJ,2017,concerned,1
Acadia National Park,ADJ,2017,congested,1
Acadia National Park,ADJ,2017,constant,1
Acadia National Park,ADJ,2017,convenient,2
Acadia National Park,ADJ,2017,cool,4
Acadia National Park,ADJ,2017,countless,1
Acadia National Park,ADJ,2017,crisp,1
Acadia National Park,ADJ,2017,crowded,10
Acadia National Park,ADJ,2017,customary,1
Acadia National Park,ADJ,2017,cute,2
Acadia National Park,ADJ,2017,damp,1
Acadia National Park,ADJ,2017,deep,2
Acadia National Park,ADJ,2017,deeper,1
Acadia National Park,ADJ,2017,delicious,1
Acadia National Park,ADJ,2017,delighted,1
Acadia National Park,ADJ,2017,dependent,2
Acadia National Park,ADJ,2017,different,9
Acadia National Park,ADJ,2017,difficult,5
Acadia National Park,ADJ,2017,down,1
Acadia National Park,ADJ,2017,drivable,1
Acadia National Park,ADJ,2017,eager,1
Acadia National Park,ADJ,2017,early,11
Acadia National Park,ADJ,2017,easier,1
Acadia National Park,ADJ,2017,east,3
Acadia National Park,ADJ,2017,easy,25
Acadia National Park,ADJ,2017,efficient,1
Acadia National Park,ADJ,2017,elderly,2
Acadia National Park,ADJ,2017,electric,1
Acadia National Park,ADJ,2017,elusive,1
Acadia National Park,ADJ,2017,empty,2
Acadia National Park,ADJ,2017,endless,2
Acadia National Park,ADJ,2017,enjoyable,5
Acadia National Park,ADJ,2017,enough,9
Acadia National Park,ADJ,2017,entire,5
Acadia National Park,ADJ,2017,excellent,7
Acadia National Park,ADJ,2017,exceptional,1
Acadia National Park,ADJ,2017,expansive,1
Acadia National Park,ADJ,2017,expensive,1
Acadia National Park,ADJ,2017,experienced,1
Acadia National Park,ADJ,2017,extra,2
Acadia National Park,ADJ,2017,extraordinary,2
Acadia National Park,ADJ,2017,fabulous,1
Acadia National Park,ADJ,2017,fair,1
Acadia National Park,ADJ,2017,famous,1
Acadia National Park,ADJ,2017,fantastic,9
Acadia National Park,ADJ,2017,fascinating,1
Acadia National Park,ADJ,2017,favorite,11
Acadia National Park,ADJ,2017,fine,1
Acadia National Park,ADJ,2017,finest,1
Acadia National Park,ADJ,2017,first,23
Acadia National Park,ADJ,2017,flat,4
Acadia National Park,ADJ,2017,fogged,1
Acadia National Park,ADJ,2017,foggy,4
Acadia National Park,ADJ,2017,foreign,1
Acadia National Park,ADJ,2017,former,1
Acadia National Park,ADJ,2017,fortunate,3
Acadia National Park,ADJ,2017,free,18
Acadia National Park,ADJ,2017,friendly,7
Acadia National Park,ADJ,2017,full,21
Acadia National Park,ADJ,2017,general,1
Acadia National Park,ADJ,2017,giant,1
